timestamp,code,i01,i02r,i03,i04,i05,i06r,i07,i08,i09,i10,n_facebook_friends,n_hangover,age,sex,extra_single_item,time_conversation,presentation,n_party,clients,extra_vignette,i21,extra_vignette2,major,smoker,sleep_week,sleep_wend,clients_freq,extra_mean,extra_md,extra_aad,extra_mode,extra_iqr
09.12.2015 17:20:52,kcw,4,4,3,4,4,4,4,3,3,3,NA,153,38,Mann,NA,1,ja,4,im Schnitt 1 Mal pro Monat,NA,NA,NA,NA,NA,NA,NA,2,3.6,4,0.48,4,1
15.12.2015 15:00:16,WKR,4,4,3,3,3,4,4,4,4,1,120,1,28,Frau,4,10,nein,6,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.4,4,0.72,4,1
01.01.2016 18:16:00,HKK,4,4,3,4,4,4,3,3,3,3,250,0,45,Frau,4,5,ja,6,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.5,3.5,0.5,3,1
19.01.2016 19:43:52,GGM,3,3,3,2,2,1,2,2,3,1,350,2,23,Frau,3,45,nein,4,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,2.2,2,0.64,2,1
01.02.2016 17:50:10,EUL,3,3,1,4,4,3,4,3,3,4,600,10,26,Mann,4,3,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.2,3,0.64,3,1
02.02.2016 19:44:07,VEB,3,2,2,3,3,3,2,3,2,4,NA,0,31,Frau,4,10,nein,0,im Schnitt 1 Mal pro Woche,NA,NA,NA,NA,NA,NA,NA,3,2.7,3,0.5599999999999999,3,1
02.02.2016 20:42:15,PZC,4,2,3,3,3,3,4,4,4,2,550,2,27,Mann,4,30,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.2,3,0.64,3,1
03.02.2016 13:51:55,GAH,4,4,3,4,3,2,4,3,4,3,NA,3,32,Mann,3,5,ja,5,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.4,3.5,0.6,4,1
04.02.2016 18:45:42,BTL,4,3,1,4,3,3,3,4,3,3,155,3,26,Frau,3,2,nein,3,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.1,3,0.54,3,0.75
08.02.2016 13:17:36,MBG,3,3,1,4,4,2,3,3,3,2,140,0,45,Frau,3,10,ja,5,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,2.8,3,0.68,3,0.75
29.02.2016 11:23:12,MKG,4,3,2,4,4,4,4,2,4,4,NA,1,32,Frau,3,10,ja,6,im Schnitt 1 Mal pro Tag,passt insgesamt,NA,3,NA,NA,NA,NA,4,3.5,4,0.7,4,0.75
03.03.2016 15:33:23,NA,3,3,2,2,2,3,3,2,3,1,250,1,24,Frau,1,NA,nein,6,im Schnitt 1 Mal pro Quartal (oder weniger),keine Antwort,NA,6,NA,NA,NA,NA,1,2.4,2.5,0.6,3,1
03.03.2016 15:33:29,FBR,3,3,3,4,3,3,2,2,3,2,294,2,28,Frau,3,27,ja,1,im Schnitt mehrfach pro Tag,passt insgesamt nicht,NA,4,NA,NA,NA,NA,5,2.8,3,0.4800000000000001,3,0.75
03.03.2016 15:34:44,CZP,4,3,3,4,4,4,3,3,3,2,600,0,24,Frau,3,NA,nein,30,im Schnitt mehrfach pro Tag,passt insgesamt,NA,3,NA,NA,NA,NA,5,3.3,3,0.5599999999999999,3,1
03.03.2016 15:34:46,NA,4,3,3,3,3,4,3,4,4,4,500,0,20,Frau,3,7,nein,4,im Schnitt mehrfach pro Tag,passt insgesamt,NA,3,NA,NA,NA,NA,5,3.5,3.5,0.5,3,1
